id,screen_name,created_at,n_follow,n_follower,n_tweets,verified,astroturf,fake_follower,financial,other,overall,self_declared,spammer
1338671747290152962,Lemgas,2020-12-15 02:26:50,6,5,18,False,0.03,0.35,0.1,0.66,0.66,0.33,0.41
1325676222349598721,Jutriway,2020-11-09 05:47:08,16,12,290,False,0.05,0.42,0.06,0.73,0.73,0.14,0.25
1235483595461914624,inelagie7,2020-03-05 08:33:50,54,42,3982,False,0.09,0.35,0.07,0.6,0.6,0.47,0.24
1204979788806418433,nenengnos,2019-12-12 04:22:31,60,50,3970,False,0.1,0.29,0.07,0.59,0.59,0.48,0.18
1271266015528144897,strawbeuwy,2020-06-12 02:20:21,114,109,1177,False,0.06,0.38,0.03,0.6,0.35,0.34,0.31
1161960188544348162,LitteulGurl,2019-08-15 11:17:51,293,296,3829,False,0.09,0.33,0.0,0.73,0.73,0.45,0.17
171741891,pertamina,2010-07-28 02:01:05,41,136753,72309,True,0.02,0.17,0.01,0.9,0.9,0.66,0.05
1329108618638028800,ACllovis,2020-11-18 17:06:26,26,29,45,False,0.09,0.59,0.08,0.77,0.77,0.25,0.39
1335788806155341832,mavrazafran,2020-12-07 03:30:56,14,10,35,False,0.1,0.62,0.06,0.74,0.74,0.36,0.46
1333403424897990656,ElardGerald,2020-11-30 13:32:17,20,8,43,False,0.06,0.65,0.05,0.8,0.8,0.44,0.34
1330339166744408064,reynalddamarion,2020-11-22 02:36:02,19,19,38,False,0.1,0.64,0.07,0.77,0.77,0.25,0.46
1303677975058030593,NasyaSyifa1,2020-09-09 12:54:07,37,34,49,False,0.09,0.63,0.05,0.69,0.69,0.38,0.46
1322699603540467712,alexaxelle123,2020-11-01 00:39:29,19,23,32,False,0.07,0.62,0.1,0.74,0.74,0.4,0.38
1281129585774522368,kelvandevid,2020-07-09 07:34:51,162,159,77,False,0.04,0.35,0.04,0.52,0.4,0.01,0.24
1499999310,arissusantii1,2013-06-11 02:11:21,24,1509,1653,False,0.02,0.24,0.01,0.47,0.46,0.02,0.42
885350204064514048,_rosechaeng,2017-07-13 04:08:32,205,100,5689,False,0.12,0.34,0.08,0.67,0.67,0.63,0.18
739030159135645696,chupickaw,2016-06-04 09:44:55,727,50,7014,False,0.21,0.57,0.04,0.48,0.42,0.01,0.22
1313158084244561920,ramyeona,2020-10-05 16:44:26,46,43,221,False,0.06,0.33,0.0,0.51,0.3,0.05,0.16
1313173664842477568,bunaperii,2020-10-05 17:46:21,48,42,186,False,0.08,0.4,0.0,0.62,0.32,0.05,0.2
1277963484492226563,moodyan_yunda,2020-06-30 13:53:49,127,109,508,False,0.1,0.35,0.02,0.78,0.78,0.05,0.2
1320510291793248256,cachabii,2020-10-25 23:39:28,25,24,155,False,0.03,0.34,0.0,0.67,0.67,0.06,0.25
1328525055123308544,seonara2,2020-11-17 02:27:23,14,11,107,False,0.04,0.41,0.01,0.72,0.72,0.08,0.3
1313155442160230408,notsyan,2020-10-05 16:33:56,38,33,257,False,0.09,0.24,0.0,0.43,0.28,0.02,0.17
1318012754318348289,seudami,2020-10-19 02:15:09,49,42,231,False,0.06,0.29,0.0,0.48,0.32,0.03,0.24
1280277963049562112,vanillafyuu,2020-07-06 23:10:35,147,120,1523,False,0.07,0.29,0.02,0.39,0.35,0.05,0.25
1326053578042044416,Bakkre2,2020-11-10 06:46:40,15,12,347,False,0.07,0.38,0.08,0.74,0.74,0.38,0.21
1328306182834962439,DavidJulyanR,2020-11-16 11:57:40,1,1,359,False,0.03,0.57,0.15,0.8,0.83,0.83,0.41
1171408000063426560,J_Wong94,2019-09-10 13:00:13,6,3,19,False,0.01,0.58,0.15,0.71,0.79,0.79,0.47
1276369682367307776,callmeoka1,2020-06-26 04:20:32,99,99,748,False,0.1,0.35,0.01,0.57,0.42,0.18,0.28
1333240723437588482,RayiValentina,2020-11-30 02:45:42,17,0,43,False,0.1,0.57,0.33,0.51,0.38,0.11,0.38
1333237263438757888,bebbyy1997,2020-11-30 02:31:57,17,0,62,False,0.07,0.8,0.2,0.62,0.8,0.09,0.26
1334725392175833089,EmiliaNur10,2020-12-04 05:05:15,16,0,35,False,0.07,0.81,0.17,0.78,0.81,0.28,0.44
1334738282731589632,AjengPutriL1,2020-12-04 05:56:28,22,0,35,False,0.04,0.79,0.15,0.72,0.79,0.23,0.38
1284306043774726145,Bilasalsa31,2020-07-18 01:56:52,65,59,500,False,0.11,0.31,0.02,0.65,0.65,0.09,0.35
1284307225138233344,_Kentang12,2020-07-18 02:01:31,59,58,516,False,0.17,0.31,0.04,0.62,0.62,0.11,0.33
1284652362410291202,Cutcurut1,2020-07-19 00:52:59,59,54,489,False,0.09,0.32,0.03,0.66,0.66,0.07,0.26
1284323210821947392,Kartika434,2020-07-18 03:05:01,49,64,439,False,0.11,0.3,0.02,0.64,0.3,0.07,0.31
1318536172457480192,_Nugi1,2020-10-20 12:55:12,7,13,132,False,0.07,0.34,0.0,0.63,0.63,0.24,0.29
1284826714338541576,Cery223,2020-07-19 12:25:44,67,61,217,False,0.08,0.31,0.04,0.65,0.65,0.13,0.21
1284309582051807232,MUZAB15,2020-07-18 02:10:51,86,66,506,False,0.13,0.3,0.09,0.59,0.29,0.08,0.34
1329444179953541120,_Hui9,2020-11-19 15:20:03,44,8,131,False,0.05,0.53,0.05,0.7,0.7,0.09,0.31
3106324067,aconkichiro,2015-03-23 01:00:32,0,217,13867,False,0.36,0.41,0.01,0.52,0.42,0.02,0.12
1336364463180505089,kembaranexel,2020-12-08 17:38:18,31,9,100,False,0.02,0.48,0.05,0.67,0.67,0.24,0.3
1304014690477985793,blessjinsoul,2020-09-10 11:11:57,11,0,205,False,0.11,0.36,0.09,0.5,0.38,0.13,0.26
1318908344480927744,Aprilia0898,2020-10-21 13:34:01,4,1,225,False,0.08,0.35,0.09,0.53,0.39,0.16,0.26
1318909506194001920,Prisiliani141,2020-10-21 13:38:36,3,1,237,False,0.14,0.31,0.07,0.54,0.38,0.09,0.33
1336222481602936834,4_aminah,2020-12-08 08:14:08,0,1,57,False,0.08,0.44,0.09,0.75,0.75,0.35,0.35
1336223127257325575,5Icasim,2020-12-08 08:16:40,0,1,56,False,0.06,0.52,0.1,0.8,0.8,0.53,0.36
1320257855992197121,Noviyanti1415,2020-10-25 06:56:26,2,1,235,False,0.07,0.28,0.07,0.52,0.38,0.09,0.27
1320259081022500865,Gitaa1415,2020-10-25 07:01:22,2,1,222,False,0.12,0.39,0.05,0.57,0.36,0.1,0.28
